"Name","City (HappyCow)","County","Veg Type","Status","Address","Phone","Website","HappyCow URL","Review Count","Description","In App","App Name"
"Vegan and Juice","Miami","Miami / Dade County","Vegan","Open","10887 NW 17th St, Miami, Florida, USA, 33172","+1-305-220-3430","https://leafletjs.com/","https://www.happycow.net/reviews/vegan-and-juice-miami-8244","33","Reviews of vegan restaurant Vegan and Juice in Miami, Florida, USA 'The food was amazing. I got brown rice, beans, and tofu. All were flavorful and yummy. I also got 2 empanadas one had spinach and the other was spicy lentils. Both had good'","No",""
"Vegan Cuban Cuisine","Miami","Miami / Dade County","Vegan","Open","9640 SW 72nd St, Miami, Florida, USA","+1-786-292-0564","http://vegancubancuisine.com/","https://www.happycow.net/reviews/vegan-cuban-cuisine-miami-142688","400","Reviews of vegan restaurant Vegan Cuban Cuisine in Miami, Florida, USA 'This restaurant is amazing! The most delicious Cuban food I’ve ever had! We tried so many items and they were all so tasty I’d get them again any day! The inside'","Yes","Vegan Cuban Cuisine"
"Cure Cafe","Miami","Miami / Dade County","Vegan-Friendly","Open","1800 SW 1st Ave Ste 104, Miami, Florida, USA, 33129","+1-954-860-9796","https://leafletjs.com/","https://www.happycow.net/reviews/cure-cafe-miami-103869","22","Reviews of vegetarian restaurant Cure Cafe in Miami, Florida, USA 'I love the marketing for this cute cafe, the jokes that would never make it through corporate approvals in big chain restaurants cracked me up. '","No",""
"Flora Plant Kitchen","Miami","Miami / Dade County","Vegetarian","Open","5580 NE 4th Ct, Unit 4B, Morningside, Miami, Florida, USA, 33137","+1-305-456-5018","https://www.floraplantkitchen.com/","https://www.happycow.net/reviews/flora-plant-kitchen-miami-452865","4","Reviews of vegetarian restaurant Flora Plant Kitchen in Miami, Florida, USA","No",""
"MyRoots","Miami","Miami / Dade County","Vegan-Friendly","Open","8530 SW 124th AV, Miami, Florida, USA, 33183","+1-786-534-5087","http://www.myrootsjuicebar.com/","https://www.happycow.net/reviews/myroots-miami-157507","20","Reviews of vegetarian restaurant MyRoots in Miami, Florida, USA","Yes","My Roots Juice Bar"
"MyRoots","Miami","Miami / Dade County","Vegan-Friendly","Open","8530 SW 124 Ave Ste 101, Miami, Florida, USA, 33183","+1-786-534-5087","https://www.myrootsjuicebar.com/locations","https://www.happycow.net/reviews/myroots-miami-72723","27","Reviews of vegetarian restaurant MyRoots in Miami, Florida, USA 'It’s a fairly small restaurant but the dishes are well sized portions, reasonably priced and so delicious! I tried the chickpea curry with quinoa and superfood bowls and both'","Yes","My Roots Juice Bar"
"Raw Juce","Miami","Miami / Dade County","Vegan-Friendly","Open","900 S Miami Ave Ste 139, Miami, Florida, USA, 33130","+1-305-677-3160","https://rawjuce.com/","https://www.happycow.net/reviews/raw-juce-miami-221646","4","Reviews of vegetarian restaurant Raw Juce in Miami, Florida, USA","No",""
"Roots Miami","Miami","Miami / Dade County","Vegan-Friendly","Open","4400 NW 2nd Ave, Miami, Florida, USA, 33127","+1-786-773-5139","http://www.miamikava.com/","https://www.happycow.net/reviews/roots-miami-165518","2","Reviews of vegetarian restaurant Roots Miami in Miami, Florida, USA 'Me and a friend ordered the two vegan sliders online along with the vegan Mac and cheese and when it came, the sliders were soggy and impossible to eat like a burger. Had'","Yes","Roots Miami Kava & Eatery"
"107 Taste","Miami","Miami / Dade County","Vegan","Open","1679 Southwest 107th Avenue, Miami (at 107th ave and 16th st.), Miami, Florida, USA, 33165","+1-786-717-6378","https://leafletjs.com/","https://www.happycow.net/reviews/107-taste-miami-120799","7","Reviews of vegan-friendly restaurant 107 Taste in Miami, Florida, USA 'Amazing vibes and great food. they have both vegan and veg options and lots of dishes can be substituted to be. I recommend the Japanese curry with tofu, and the veggie'","No",""
"107 Taste","Miami","Miami / Dade County","Vegetarian","Open","1190 SW 2nd Ave, Miami, Florida, USA, 33130","+1-786-638-2696","https://leafletjs.com/","https://www.happycow.net/reviews/107-taste-miami-362491","1","Reviews of vegan-friendly restaurant 107 Taste - Brickell in Miami, Florida, USA 'Clearly marked vegetarian options - many of them have egg which can be removed at request. I got the Singapore noodles with added tofu and without egg. It was'","No",""
"3 Chef's Chinese Restaurant","Miami","Miami / Dade County","Vegan","Open","1800 Biscayne Blvd (at downtown), Miami, Florida, USA, 33132","+1-305-373-2688","http://3chefs-mia.com/","https://www.happycow.net/reviews/3-chefs-chinese-restaurant-miami-55787","4","Reviews of vegan-friendly restaurant 3 Chef's Chinese Restaurant in Miami, Florida, USA 'Delicious tofu. I liked the food. Thanks.'","No",""
"Aladdin Market & Grill","Miami","Miami / Dade County","Vegan","Closed","7600 SW 117th Ave, Miami, Florida, USA, 33183","+1-786-857-6879","http://www.aladdinmarketgrill.com/","https://www.happycow.net/reviews/aladdin-market-grill-miami-425449","2","Reviews of vegan-friendly restaurant Aladdin Market & Grill in Miami, Florida, USA 'Staff is super friendly and helpful in explaining options! Menu is also clearly labeled'","No",""
"Amal","Miami","Miami / Dade County","Vegan","Closed","3480 Main Hwy, Miami, Florida, USA, 33133","+1-786-369-0846","http://amalmiami.com/","https://www.happycow.net/reviews/amal-miami-308760","5","Reviews of vegan-friendly restaurant Amal in Miami, Florida, USA 'Upscale/fine dining Lebanese food. Clearly marked vegan options. I ordered all the vegan items and was very satisfied with the amount of food. Ordered many cold mezze such as'","No",""
"American Airlines Admirals Club","Miami","Miami / Dade County","Vegan","Open","2100 NW 42nd Ave, Miami, Florida, USA, 33142","+1-800-237-7971","https://www.aa.com/i18n/travelInformation/airportAmenities/mia-club.jsp","https://www.happycow.net/reviews/american-airlines-admirals-club-miami-503668","1","Reviews of vegan-friendly restaurant American Airlines Admirals Club in Miami, Florida, USA 'Not currently a vegan soup but often is. The kale salad is good. The pineapple rive was good but just changed to a different type of rice.'","No",""
"Amor Di Pasta","Miami","Miami / Dade County","Vegan-Friendly","Open","2320 NE 2nd Ave, Miami, Florida, USA, 33137","+1-305-640-5760","http://www.amordipasta.com/","https://www.happycow.net/reviews/amor-di-pasta-miami-189942","56","Reviews of vegan-friendly restaurant Amor Di Pasta in Miami, Florida, USA 'Just finished a terrific birthday dinner for two. My wife ordered off the all vegan menu, I ordered vegetarian things from the nonvegan menu. Everything was'","Yes","Amor di Pasta"
"Amsterdam Falafelshop","Miami","Miami / Dade County","Vegan-Friendly","Open","5835 Sunset Dr, Miami, Florida, USA, 33143","+1-786-348-0541","http://www.falafelshop.com/","https://www.happycow.net/reviews/amsterdam-falafelshop-miami-147735","16","Reviews of vegan-friendly restaurant Amsterdam Falafelshop in Miami, Florida, USA","No",""
"Anthony's Coal Fired Pizza & Wings","Miami","Miami / Dade County","Vegan-Friendly","Open","12502 Southwest 88th Street, Miami, Florida, USA, 33186","+1-305-273-8020","https://acfp.com/locations/kendall/","https://www.happycow.net/reviews/anthonys-coal-fired-pizza-wings-miami-471588","1","Reviews of vegan-friendly restaurant Anthony's Coal Fired Pizza & Wings in Miami, Florida, USA 'Pretty much no vegan options here. You can easily customize a pizza to make it vegan by asking for no dairy products like butter and cheese on'","No",""
"V Gelato","Miami","Miami / Dade County","Vegan","Open","317 NW 25th st (at 25th & 3rd), Miami, Florida, USA, 33127","+1-786-452-1080","http://www.vgelatomiami.com/","https://www.happycow.net/reviews/v-gelato-cafe-miami-313171","41","Reviews of dairy-free ice cream or gelato V Gelato in Miami, Florida, USA 'So many flavours to choose from!'","Yes","V Gelato"
"Aroma Espresso Bar","Miami","Miami / Dade County","Vegan","Open","71 Northeast 16th St, Miami, Florida, USA, 33132","+1-786-206-1036","http://www.aroma.us/","https://www.happycow.net/reviews/aroma-espresso-bar-miami-273615","10","Reviews of vegan-friendly restaurant Aroma Espresso Bar in Miami, Florida, USA","No",""
"Ashoka Indian Cuisine","Miami","Miami / Dade County","Vegetarian","Open","295 NW 82 Ave, Miami, Florida, USA, 33126","+1-305-456-8566","http://ashokamiami.com/","https://www.happycow.net/reviews/ashoka-miami-84775","7","Reviews of vegan-friendly restaurant Ashoka Indian Cuisine in Miami, Florida, USA","No",""
"AYESHA","Miami","Miami / Dade County","Vegan","Unknown","120 Buena Vista Blvd, Midtown, Miami, Florida, USA, 33127","+1-305-419-1628","https://ayeshagroupmiami.com/","https://www.happycow.net/reviews/ayesha-miami-386837","7","Reviews of vegan-friendly restaurant AYESHA in Miami, Florida, USA 'The only reason there’s not 5 stars is because happy cow downgraded it because this restaurant isn’t fully vegan. Indian food is my favorite food and this has to be one'","No",""
"B & M Market","Miami","Miami / Dade County","Vegan","Open","219 Northeast 79th Street, Miami, Florida, USA, 33138","+1-305-757-2889","http://www.bmmarketmiami.com/","https://www.happycow.net/reviews/b-m-market-miami-469649","1","Reviews of vegan-friendly restaurant B & M Market  in Miami, Florida, USA 'I’m so glad I found B&M Market & Restaurant in Miami — this place is an underrated gem for vegetarians and vegans! They offer several delicious plant-based'","No",""
"Bakan","Miami","Miami / Dade County","Vegan-Friendly","Open","2801 NW Second Ave, Miami, Florida, USA, 33127","+1-305-396-7080","https://www.bakanwynwood.com/","https://www.happycow.net/reviews/bakan-miami-337826","2","Reviews of vegan-friendly restaurant Bakan in Miami, Florida, USA 'We were pleasantly surprised by the quality of vegan/vegetarian options. We had an excellent guacamole starter with wood fired tortillas (not deep fried!). I had tasty'","No",""
"Bali Cafe","Miami","Miami / Dade County","Vegan","Closed","109 NE 2nd Ave, Miami, Florida, USA, 33132","+1-305-358-5751","https://balicafemiami.com/","https://www.happycow.net/reviews/bali-cafe-miami-253875","4","Reviews of vegan-friendly restaurant Bali Cafe in Miami, Florida, USA 'Should have read the reviews before we ate here, but it was the last place still open where we could get dinner. We had tofu bowls which we‘re quite good, they also'","No",""
"Batch Gastropub","Miami","Miami / Dade County","Vegan","Open","30 SW 12th St, Miami, Florida, USA, 33130","+1-305-808-5555","https://www.ubereats.com/store/batch-gastropub-brickell/qkESnZsJQbGglZ-0jxy6tA","https://www.happycow.net/reviews/batch-gastropub-miami-502416","","Vegan-friendly restaurant Batch Gastropub in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","Yes","Batch"
"Blaze Pizza","Miami","Miami / Dade County","Vegan","Open","12305 SW 137th Ave Ste 306, Miami, Florida, USA, 33186","+1-305-847-9940","http://www.blazepizza.com/locations/Miami","https://www.happycow.net/reviews/blaze-pizza-miami-151353","5","Reviews of vegan-friendly restaurant Blaze Pizza in Miami, Florida, USA","Yes","Blaze Pizza"
"Bobby's Meals","Miami","Miami / Dade County","Vegan-Friendly","Closed","2109 Opa Locka Blvd, Miami, Florida, USA, 33054","+1-305-685-8818","https://leafletjs.com/","https://www.happycow.net/reviews/bobbys-meal-miami-87914","3","Reviews of vegan-friendly restaurant Bobby's Meals in Miami, Florida, USA","No",""
"Bolay","Miami","Miami / Dade County","Vegan","Open","7880 SW 104th St, Miami, Florida, USA, 33156","+1-786-800-9835","https://www.bolay.com/","https://www.happycow.net/reviews/bolay-miami-358423","","Vegan-friendly restaurant Bolay in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","Yes","Bolay"
"MIA","Miami","Miami / Dade County","Vegan","Open","Miami International Airport (MIA), Concourse D, 2100 Northwest 42nd Ave, Miami, Florida, USA, 33142","+1-800-433-7300","https://www.aa.com/i18n/travel-info/clubs/flagship-lounge.jsp","https://www.happycow.net/reviews/american-airlines-flagship-lounge-miami-353014","5","Reviews of vegan-friendly restaurant MIA - American Airlines Flagship Lounge - D in Miami, Florida, USA 'I fly a lot and have been in airline lounges around the globe. I was overly impressed with this American lounge, as there were loads of'","No",""
"MIA","Miami","Miami / Dade County","Vegetarian","Open","Miami International Airport, Terminal G, Miami, Florida, USA, 33126","","https://leafletjs.com/","https://www.happycow.net/reviews/au-bon-pain-miami-155459","4","Reviews of vegan-friendly restaurant MIA - Au Bon Pain - TG in Miami, Florida, USA","No",""
"MIA","Miami","Miami / Dade County","Vegan","Open","Miami International Airport, Gate D 27, Miami, Florida, USA, 33122","+1-786-843-3847","https://leafletjs.com/","https://www.happycow.net/reviews/estefan-kitchen-miami-192380","10","Reviews of vegan-friendly restaurant MIA - Estefan Kitchen - N Terminal in Miami, Florida, USA 'The bowl had zucchini, yellow squash, red bell peppers, corn and white rice. I also got a bag of plantain chips.'","No",""
"MIA","Miami","Miami / Dade County","Vegan","Open","1961 Miad Cir Gate D-27, Miami, Florida, USA, 33126","+1-786-843-3896","http://www.estefankitchen.com/","https://www.happycow.net/reviews/estefan-kitchen-express-miami-192784","13","Reviews of vegan-friendly restaurant MIA - Estefan Kitchen Express - Gate D in Miami, Florida, USA","No",""
"MIA","Miami","Miami / Dade County","Vegan","Open","Floor 2, Miami International Airport, Miami, Florida, USA, 33142","+1-305-869-1386","https://www.kuvarestaurant.com/","https://www.happycow.net/reviews/ku-va-restaurant-bar-miami-272387","8","Reviews of vegan-friendly restaurant MIA - Ku-Va Restaurant & Bar - TD in Miami, Florida, USA 'Nice to eat safely. The service worker assured me that the black beans are vegan. I had them with grilled cebolla and they were good. She gave me'","No",""
"MIA","Miami","Miami / Dade County","Vegan","Unknown","Miami International Airport, Miami, Florida, USA, 33126","","https://leafletjs.com/","https://www.happycow.net/reviews/la-pausa-miami-147007","4","Reviews of vegan-friendly restaurant MIA - La Pausa - TJ in Miami, Florida, USA 'No more veggie burger, they have pasta salad that might be veganizable but the only other vegetarian options look like the egg and or cheese and or butter'","No",""
"MIA","Miami","Miami / Dade County","Vegan","Open","2100 NW 42nd Ave (at Miami International Airport, Concourse D, Level 2, near Gate 17), Miami, Florida, USA, 33126","+1-305-876-7820","https://shulasbarandgrill.com/","https://www.happycow.net/reviews/shulas-bar-and-grill-miami-467979","1","Reviews of vegan-friendly restaurant MIA - Shula's Bar & Grill - Concourse D in Miami, Florida, USA 'They only have one vegan option, but they were close to my gate, so I just stopped to eat here. '","No",""
"MIA","Miami","Miami / Dade County","Vegan","Open","4200 NW 21st St (at Miami International Airport), Miami, Florida, USA, 33122","+1-305-876-7927","https://www.subway.com/","https://www.happycow.net/reviews/subway-miami-481524","","Vegan-friendly restaurant MIA - Subway - Concourse H in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"MIA","Miami","Miami / Dade County","Vegan","Open","2100 NW 42nd Ave, Concourse D, near Gate D29 (at Miami International Airport), Miami, Florida, USA, 33166","+1-305-869-4060","https://www.sushimaki.com/locations/","https://www.happycow.net/reviews/sushi-maki-mia-miami-385570","13","Reviews of vegan-friendly restaurant MIA - Sushi Maki - TD in Miami, Florida, USA 'Sushi & Asian fusion near D 27 '","No",""
"MIA","Miami","Miami / Dade County","Vegan","Open","Miami International Airport, Gate D-36, Miami, Florida, USA","+1-305-869-1460","https://www.tgifridays.com/","https://www.happycow.net/reviews/tgi-fridays-miami-193850","4","Reviews of vegan-friendly restaurant MIA - TGI Friday's - North Terminal in Miami, Florida, USA 'Glad to find these as not much else in miami airport. Good that theyre willing to serve them without a full breakfast. No vegan butter'","No",""
"MIA","Miami","Miami / Dade County","Vegan","Open","Miami International Airport, D Gates 32-33, Miami, Florida, USA, 33126","+1-305-876-0890","http://www.thecounter.com/","https://www.happycow.net/reviews/the-counter-miami-121461","9","Reviews of vegan-friendly restaurant MIA - The Counter - TD in Miami, Florida, USA 'I feel like food at the airport gets graded differently because vegan options are pretty slim but I am happy to report that their black bean burger is'","No",""
"Mister O1","Miami","Miami / Dade County","Vegan","Open","1000 S Miami Ave, Miami, Florida, USA, 33130","+1-786-830-2803","http://www.mistero1.com/","https://www.happycow.net/reviews/mister-o1-miami-144914","13","Reviews of vegan-friendly restaurant Mister O1 - Brickell in Miami, Florida, USA 'The crust was great. There was more cheese than Id prefer and I dont love violife that much so I prob wouldve enjoyed it more with no cheese. They give a'","No",""
"Mister O1","Miami","Miami / Dade County","Vegan","Open","2315 N Miami Ave, Miami, Florida, USA, 33127","+1-786-991-9343","http://www.mistero1.com/","https://www.happycow.net/reviews/mister-o1-miami-144913","4","Reviews of vegan-friendly restaurant Mister O1 - Wynwood in Miami, Florida, USA 'It’s great that they have vegan options. The vegan veggie pizza was great. We added arugula and basil. We got the vegan hazelnut pizza and added banana. It'","No",""
"Momosan","Miami","Miami / Dade County","Vegan","Closed","415 NW 26th St, Miami, Florida, USA, 33127","+1-305-851-8450","https://momosanramen.com/restaurants/wynwood","https://www.happycow.net/reviews/momosan-miami-351221","","Vegan-friendly restaurant Momosan in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Morgan's","Miami","Miami / Dade County","Vegan","Open","28 NE 29th St, Miami, Florida, USA, 33132","+1-305-573-9678","https://www.themorgansrestaurant.com/","https://www.happycow.net/reviews/morgans-miami-273012","6","Reviews of vegan-friendly restaurant Morgan's in Miami, Florida, USA 'Had the vegan french toast here, made with chia seeds.'","No",""
"Moshi Moshi","Miami","Miami / Dade County","Vegan","Open","7232 Biscayne Blvd, Miami, Florida, USA, 33138","+1-305-751-2114","https://moshimoshi.fun/","https://www.happycow.net/reviews/moshi-moshi-miami-247538","1","Reviews of vegan-friendly restaurant Moshi Moshi in Miami, Florida, USA 'Clearly marked vegan items on the menu and open until 5am. There was a weird old house basement smell inside so we at at the outside sidewalk tables. The Tempura'","No",""
"Motek Café","Miami","Miami / Dade County","Vegan","Open","36 NE First St, Miami, Florida, USA, 33132","+1-786-953-7689","https://www.motekcafe.com/","https://www.happycow.net/reviews/motek-cafe-miami-251417","10","Reviews of vegan-friendly restaurant Motek Café in Miami, Florida, USA","Yes","Motek"
"Naked Farmer","Miami","Miami / Dade County","Vegan","Open","200 South Biscayne Boulevard, Miami, Florida, USA, 33131","+1-305-614-3911","https://www.eatnakedfarmer.com/","https://www.happycow.net/reviews/naked-farmer-miami-487757","1","Reviews of vegan-friendly restaurant Naked Farmer in Miami, Florida, USA 'Real unprocessed food! There are preset vegan bowls or you can create your own using the dishes offered that day. They respect and elevate their veggies with generous,'","No",""
"Naomi's Garden","Miami","Miami / Dade County","Vegan","Open","650 NW 71st St, Miami, Florida, USA, 33150","+1-305-456-4715","http://www.naomismiami.com/","https://www.happycow.net/reviews/naomis-garden-miami-144348","1","Reviews of vegan-friendly restaurant Naomi's Garden in Miami, Florida, USA 'I ordered for delivery. Delivery arrived super fast! I have the white rice, black sauce, green plantains and legume. The legume is delicious and I HATE eggplant. But'","Yes","Naomi's Garden"
"New Schnitzel House","Miami","Miami / Dade County","Vegan","Closed","1085 NE 79th St, Miami, Florida, USA, 33138","+1-305-675-4287","http://www.thenewschnitzelhouse.com/","https://www.happycow.net/reviews/new-schnitzel-house-miami-368137","1","Reviews of vegan-friendly restaurant New Schnitzel House in Miami, Florida, USA 'Found this place bc my bf started bartending there a couple days was shocked when he told me how many vegan options were on the menu! The food is sooo good and'","No",""
"NU real food","Miami","Miami / Dade County","Vegan","Open","3252 Buena Vista Boulevard, Miami, Florida, USA, 33137","+1-954-393-0095","https://www.nurealfood.com/","https://www.happycow.net/reviews/nu-real-food-miami-478893","1","Reviews of vegan-friendly restaurant NU real food in Miami, Florida, USA","No",""
"Nude Pita","Miami","Miami / Dade County","Vegan","Open","3801 Biscayne Blvd, Miami, Florida, USA, 33137","+1-786-992-9153","http://www.nudepita.com/","https://www.happycow.net/reviews/nude-pita-miami-467116","","Vegan-friendly restaurant Nude Pita in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"OL'DAYS","Miami","Miami / Dade County","Vegan","Open","3301 NE 1st Ave, Miami, Florida, USA, 33137","+1-786-843-1397","https://www.oldayscoffee.com/","https://www.happycow.net/reviews/oldays-miami-288331","11","Reviews of vegan-friendly restaurant OL'DAYS in Miami, Florida, USA 'Tasty brunch and coffee with many options.'","No",""
"P.F. Chang's","Miami","Miami / Dade County","Vegetarian","Open","11361 NW 12th St, Miami, Florida, USA, 33172","+1-305-591-5603","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/12/21/chain122_163_1538429987.jpeg","https://www.happycow.net/reviews/p-f-changs-miami-226197","","Vegan-friendly restaurant P.F. Chang's in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"P.F. Chang's","Miami","Miami / Dade County","Vegetarian","Open","901 S Miami Ave Ste 104, Miami, Florida, USA, 33131","+1-305-358-0732","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/12/21/chain122_163_1538429987.jpeg","https://www.happycow.net/reviews/p-f-changs-miami-226184","","Vegan-friendly restaurant P.F. Chang's - Brickell in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"P.F. Chang's","Miami","Miami / Dade County","Vegetarian","Open","8888 SW 136th St Ste 100, Miami, Florida, USA, 33176","+1-305-234-2338","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/12/21/chain122_163_1538429987.jpeg","https://www.happycow.net/reviews/p-f-changs-miami-226185","1","Reviews of vegan-friendly restaurant P.F. Chang's - The Falls in Miami, Florida, USA 'PF Changs is very basic. They always have vegan options but its never overly good and can sometimes be way too salty. This particular location isnt any'","No",""
"P.Pole Pizza","Miami","Miami / Dade County","Vegetarian","Open","1440 NW N River Dr Suite 182, Miami, Florida, USA, 33125","+1-786-622-2279","https://ppolepizza.com/","https://www.happycow.net/reviews/p-pole-pizza-miami-358582","","Vegan-friendly restaurant P.Pole Pizza in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Patacon Pisa'o","Miami","Miami / Dade County","Vegan","Open","13630 SW 120th St, Miami, Florida, USA, 33186","+1-786-430-5959","https://www.ubereats.com/store/patacon-pisao/4wbQyCkSRUqg2thMFFiAYQ?diningMode=PICKUP&utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas","https://www.happycow.net/reviews/patacon-pisao-miami-449975","","Vegan-friendly restaurant Patacon Pisa'o in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","No",""
"Pei Wei Asian Diner","Miami","Miami / Dade County","Vegan","Open","2283 SW 37th 20Ave, Miami, Florida, USA, 33145","","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/29/13/chain291_342_1571675944.jpeg","https://www.happycow.net/reviews/pei-wei-asian-diner-miami-184970","1","Reviews of vegan-friendly restaurant Pei Wei Asian Diner in Miami, Florida, USA","No",""
"Pieology","Miami","Miami / Dade County","Vegan","Open","10141 W Flagler St, Miami, Florida, USA, 33174","+1-305-221-0740","http://locations.pieology.com/","https://www.happycow.net/reviews/pieology-miami-89908","5","Reviews of vegan-friendly restaurant Pieology in Miami, Florida, USA 'We arrived to South Miami late and ordered from Pieology. Stellar cauliflower crust pie; so many vegan options, including vegan meats! The new lemon vinegarette salad'","No",""
