"Name","City","County","Veg Type","HappyCow Status","HappyCow Address","HappyCow Phone","HappyCow Website","HappyCow URL","Review Count","Place ID","Verified Address","Lat","Lng","Google Status","Google Website","Google Name"
"Nude Pita","Miami","Miami / Dade County","Vegan","Open","3801 Biscayne Blvd, Miami, Florida, USA, 33137","+1-786-992-9153","http://www.nudepita.com/","https://www.happycow.net/reviews/nude-pita-miami-467116","","ChIJ57fVBSix2YgRpRe760TkS2g","633 NE 79th St, Miami, FL 33138, USA","25.848077099999998","-80.18377439999999","OPERATIONAL","http://www.nudepita.com/","Nude Pita"
"OL'DAYS","Miami","Miami / Dade County","Vegan","Open","3301 NE 1st Ave, Miami, Florida, USA, 33137","+1-786-843-1397","https://www.oldayscoffee.com/","https://www.happycow.net/reviews/oldays-miami-288331","11","ChIJodadmsSx2YgRT2AZcnRUxPo","3301 NE 1st Ave, Miami, FL 33137, USA","25.807999","-80.1926969","OPERATIONAL","http://www.oldayscoffee.com/","OL'DAYS - Farm to Table Midtown"
"Patacon Pisa'o","Miami","Miami / Dade County","Vegan","Open","13630 SW 120th St, Miami, Florida, USA, 33186","+1-786-430-5959","https://www.ubereats.com/store/patacon-pisao/4wbQyCkSRUqg2thMFFiAYQ?diningMode=PICKUP&utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas","https://www.happycow.net/reviews/patacon-pisao-miami-449975","","ChIJ5Xybc4PB2YgR7nFoJpUSzEY","13630 SW 120th St, Miami, FL 33186, USA","25.6529036","-80.4150212","OPERATIONAL","http://www.pataconpisao.us/","Patacon Pisao"
"Raw Chef Carla","Miami","Miami / Dade County","Vegan","Open","6900 Bay Dr, Miami, Florida, USA, 33141","+1-828-505-6203","http://www.rawchefcarla.com/","https://www.happycow.net/reviews/raw-chef-carla-miami-363695","17","ChIJV5mthN-x2YgRIQ5zMw7nufo","7316 NE 2nd Ave, Miami, FL 33138, USA","25.842430699999998","-80.19291659999999","OPERATIONAL","https://www.theplantisserie.com/","The Plantisserie"
"Sweet Chemistry Baking Co","Miami","Miami / Dade County","Vegan","Open","2400 SW 3rd Ave , Miami, Florida, USA, 33129","+1-786-200-6717","http://sweetchemistrybc.com/","https://www.happycow.net/reviews/sweet-chemistry-baking-co-miami-205098","12","ChIJeVJykL_B2YgRMavCkv8oRBo","12301 SW 128th Ct #105-B, Miami, FL 33186, USA","25.653545599999998","-80.40180099999999","OPERATIONAL","https://sweetlifecakesupply.com/","Sweet Life Cake and Candy Supply"
"360 Bowls","Miami","Miami / Dade County","Vegan","Open","100 S Biscayne Blvd, Miami, Florida, USA, 33131","+1-786-816-2724","https://leafletjs.com/","https://www.happycow.net/reviews/360-bowls-miami-251808","1","ChIJV1SegMi32YgRUhenp30zuKY","1900 NE Miami Ct, Miami, FL 33132, USA","25.795136","-80.194295","OPERATIONAL","","360 Bowls"
"Ben & Jerry's","Miami","Miami / Dade County","Vegan","Open","1723 E Hallandale Blvd, Miami, Florida, USA, 33009","+1-786-763-2697","https://www.benjerry.com/","https://www.happycow.net/reviews/ben-and-jerrys-miami-195561","3","ChIJd4iRb52s2YgRTyO6ud3idMo","1723 E Hallandale Beach Blvd, Hallandale Beach, FL 33009, USA","25.986933099999998","-80.130589","OPERATIONAL","https://www.benjerry.com/hallandalebeach","Ben & Jerry’s"
"Cielito Artisan Pops","Miami","Miami / Dade County","Vegan","Open","2750 NW 3rd Ave Ste 20a, Miami, Florida, USA, 33127","+1-305-397-7392","https://cielitoartisanpops.com/ice-pops","https://www.happycow.net/reviews/cielito-artisan-pops-miami-216214","1","ChIJ8x0g47K22YgRoz5GVT6eFi4","2750 NW 3rd Ave Ste 20A, Miami, FL 33127, USA","25.8023579","-80.2012762","OPERATIONAL","http://cielitoartisanpops.com/","Cielito Artisan Pops"
"Coffee Break House","Miami","Miami / Dade County","Vegan","Open","7251 Biscayne Blvd, Miami, Florida, USA, 33138","+1-786-391-2073","https://leafletjs.com/","https://www.happycow.net/reviews/coffee-break-house-miami-445194","","ChIJmZgjbGuz2YgR_QLqF_6GGAk","7251 Biscayne Blvd, Miami, FL 33138, USA","25.841839099999998","-80.1841718","OPERATIONAL","","Coffee Break House"
"Dasher & Crank","Miami","Miami / Dade County","Vegan","Open","2211 Northwest 2nd Ave, Miami, Florida, USA, 33127","+1-305-213-1569","http://dasherandcrank.com/","https://www.happycow.net/reviews/dasher-crank-miami-188918","20","ChIJ-XTD_rG22YgRgumtfSwo070","2211 NW 2nd Ave, Miami, FL 33127, USA","25.7981523","-80.1987881","OPERATIONAL","http://dasherandcrank.com/","Dasher & Crank / Matcha Café"
"Dreamy Desserts","Miami","Miami / Dade County","Vegan","Open","9618 Fontainebleau Blvd, Miami, Florida, USA, 33172","+1-786-485-4969","https://www.ubereats.com/store/dreamy-desserts-9618-fontainebleau-boulevard/9bsdy9y8VACR-TR8eV3DWw","https://www.happycow.net/reviews/dreamy-desserts-miami-508212","1","ChIJ_8-QgOW52YgRgG0bsw9v7O0","9618 Fontainebleau Blvd, Miami, FL 33172, USA","25.774690999999997","-80.35058470000001","OPERATIONAL","","Dreamy Desserts"
"Hoja Taqueria","Miami Beach","Miami / Dade County","Vegan","Open","3120 Collins Ave (at Generator Hotel), Miami Beach, Florida, USA, 33140","+1-786-496-5739","https://www.hojataqueria.com/","https://www.happycow.net/reviews/hoja-taqueria-miami-beach-395487","4","ChIJPTPFX4Cz2YgRlZ_epC3aQ-U","3120 Collins Ave, Miami Beach, FL 33140, USA","25.807028499999998","-80.124343","OPERATIONAL","https://www.pikiotaco.com/miami","Pikio Taco"
"La Sandwicherie","Miami Beach","Miami / Dade County","Vegan","Open","7349 Collins Ave, Miami Beach, Florida, USA, 33141","+1-305-763-8278","http://www.lasandwicherie.com/","https://www.happycow.net/reviews/la-sandwicherie-miami-beach-347526","5","ChIJedi-Opu02YgR0PykdvjE_N4","229 14th St, Miami Beach, FL 33139, USA","25.7855384","-80.13141069999999","OPERATIONAL","http://www.lasandwicherie.com/","La Sandwicherie Miami Beach"
"Lido Restaurant and Bayside Grill","Miami Beach","Miami / Dade County","Vegan","Open","40 Island Ave, Miami Beach, Florida, USA, 33139","+1-786-245-0880","http://www.lidobayside.com/","https://www.happycow.net/reviews/lido-restaurant-and-bayside-grill-miami-beach-26660","11","ChIJi3iJenu02YgRZ_CX33n3ev4","40 Island Ave, Miami Beach, FL 33139, USA","25.7927696","-80.14934","OPERATIONAL","https://www.lidobayside.com/?utm_source=google&utm_campaign=google_my_business&utm_medium=organic","Lido Bayside"
"Lolo's Surf Cantina","Miami Beach","Miami / Dade County","Vegan","Open","161 Ocean Dr, Miami Beach, Florida, USA, 33139","+1-305-735-6973","http://loloscantina.com/","https://www.happycow.net/reviews/lolos-surf-cantina-miami-beach-88168","4","ChIJD0iM-PG02YgRfW1_m0Ofeo4","161 Ocean Dr, Miami Beach, FL 33139, USA","25.7705846","-80.1323535","OPERATIONAL","https://loloscantina.com/","Lolo's Surf Cantina"
"Lucali","Miami Beach","Miami / Dade County","Vegan","Open","1930 Bay Rd, Miami Beach, Florida, USA, 33139","+1-305-695-4441","https://www.ubereats.com/store/lucali/WE9qWhSmRKmheE4H0oKc4Q?utm_campaign=place-action-link&utm_medium=organic&utm_source=google","https://www.happycow.net/reviews/lucali-miami-beach-384452","1","ChIJIy4_DH602YgR9uAs77xeB7s","1930 Bay Rd, Miami Beach, FL 33139, USA","25.7952118","-80.1439986","OPERATIONAL","https://www.lucali.com/","Lucali"
"Oh Mexico","Miami Beach","Miami / Dade County","Vegan","Open","1440 Washington Ave, Miami Beach, Florida, USA, 33139","+1-305-532-0490","https://www.ohmexicorestaurant.com/","https://www.happycow.net/reviews/oh-mexico-miami-beach-263622","4","ChIJxYma4Y-02YgRB_JPvk8BMro","1440 Washington Ave, Miami Beach, FL 33139, USA","25.786786799999998","-80.1319726","OPERATIONAL","https://www.ohmexicorestaurant.com/espanola-way/","Oh! Mexico"
"Pizza De Miami 2","Miami Beach","Miami / Dade County","Vegan","Open","1447 Washington Ave, Miami Beach, Florida, USA, 33139","+1-305-397-8452","http://pizza-de-miami.com/","https://www.happycow.net/reviews/pizza-de-miami-two-miami-beach-420517","4","ChIJe0AZHpC02YgR8LZxblAwHoo","1447 Washington Ave, Miami Beach, FL 33139, USA","25.787170999999997","-80.13156339999999","OPERATIONAL","http://www.pizza-de-miami.com/","Pizza De Miami 2"
"Sawadee Thai","Miami Beach","Miami / Dade County","Vegan","Open","6968 Bay Dr E (at 71st St), Miami Beach, Florida, USA, 33141","+1-305-866-8111","https://sawaddeethaitogo.com/","https://www.happycow.net/reviews/sawadee-thai-miami-beach-30782","6","ChIJkffbtuWy2YgRR7uRD3w5eRk","6968 Bay Dr, Miami Beach, FL 33141, USA","25.855444","-80.1278269","OPERATIONAL","http://sawaddeethaisushi.com/","Sawaddee Thai & Sushi Restaurant"
"Smart Bowls","Miami Beach","Miami / Dade County","Vegan","Open","955 Alton Rd, No 031 (at Alton Food Hall), Miami Beach, Florida, USA, 33139","+1-305-946-9959","https://smart-bowls-miami-beach.business.site/","https://www.happycow.net/reviews/smart-bowls-miami-beach-352925","","ChIJ8Tl-qVy32YgRJAI-0zioSMQ","542 NW 30th St, Miami, FL 33127, USA","25.804411500000004","-80.2043636","OPERATIONAL","https://smartbowls.square.site/","Smart Bowls Miami"
"Spris Artisan Pizza","Miami Beach","Miami / Dade County","Vegan","Open","731 Lincoln Rd, Miami Beach, Florida, USA, 33139","+1-305-673-2020","http://sprispizza.com/","https://www.happycow.net/reviews/spris-artisan-pizza-miami-beach-370948","9","ChIJ3zArz4W02YgR_LiQZoNAKrk","731 Lincoln Rd, Miami Beach, FL 33139, USA","25.7907315","-80.13620329999999","OPERATIONAL","https://www.sprispizza.com/","Spris Artisan Pizza - Lincoln Road"
"Sweet Liberty","Miami Beach","Miami / Dade County","Vegan","Open","237 B 20th St, Miami Beach, Florida, USA, 33139","+1-305-763-8217","https://www.mysweetliberty.com/","https://www.happycow.net/reviews/sweet-liberty-miami-beach-327484","4","ChIJE1-f5Jy02YgR33kYRknZfSY","237 20th St Ste b, Miami Beach, FL 33139, USA","25.7960364","-80.1299925","OPERATIONAL","https://www.mysweetliberty.com/","Sweet Liberty Drinks & Supply Company"
"Taquiza","Miami Beach","Miami / Dade County","Vegan","Open","7450 Ocean Terrace (at in The Broadmore), Miami Beach, Florida, USA, 33141","+1-786-588-4755","https://www.taquizatacos.com/","https://www.happycow.net/reviews/taquiza-miami-beach-261533","4","ChIJVVVlfsKy2YgRv3IFzm4jghw","7450 Ocean Ter, Miami Beach, FL 33141, USA","25.860459","-80.1200764","OPERATIONAL","https://www.taquizatacos.com/","Taquiza Tacos (North Beach)"
"Thai House","Miami Beach","Miami / Dade County","Vegan","Open","1137 Washington Ave, Miami Beach, Florida, USA, 33139","+1-305-531-4841","https://www.thaihousesouthbeach.com/","https://www.happycow.net/reviews/house-of-thai-miami-beach-43128","16","ChIJT_Fr2qK12YgRvDt5hErLpt4","1137 Washington Ave, Miami Beach, FL 33139, USA","25.7825984","-80.1321998","OPERATIONAL","http://www.thaihousesouthbeach.com/","Thai House South Beach"
"The Front Porch Cafe","Miami Beach","Miami / Dade County","Vegan","Open","918 Ocean Drive, Miami Beach, Florida, USA, 33139","+1-305-531-8300","http://www.frontporchoceandrive.com/","https://www.happycow.net/reviews/the-front-porch-cafe-miami-beach-189829","7","ChIJZ6hVRJC02YgRfJEJhvJda7o","918 Ocean Dr, Miami Beach, FL 33139, USA","25.7796189","-80.13112799999999","OPERATIONAL","http://www.frontporchoceandrive.com/","Front Porch Cafe"
"The Sandbox","Miami Beach","Miami / Dade County","Vegan","Open","2341 Collins Ave (at 1 Hotel South Beach), Miami Beach, Florida, USA, 33139","+1-305-604-1000","https://www.1hotels.com/south-beach/taste/the-sandbox","https://www.happycow.net/reviews/the-sandbox-miami-beach-508745","5","ChIJ2yQzjJ202YgRhu1BdoGtkDI","2341 Collins Ave 3rd Floor, Miami Beach, FL 33139, USA","25.7990924","-80.1266605","OPERATIONAL","https://www.1hotels.com/south-beach/taste/the-sandbox?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","The Sandbox"
"WATR","Miami Beach","Miami / Dade County","Vegan","Open","2341 Collins Ave (at 1 Hotel South Beach), Miami Beach, Florida, USA, 33139","+1-305-604-6511","https://www.1hotels.com/south-beach/taste/watr-at-the-rooftop","https://www.happycow.net/reviews/watr-miami-beach-398854","2","ChIJaXDYCGKz2YgRZcbuI00YQuY","2341 Collins Ave Floor 18, Miami Beach, FL 33139, USA","25.7995901","-80.1268576","OPERATIONAL","https://www.1hotels.com/south-beach/taste/watr-at-the-rooftop?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","Watr at the 1 Rooftop"
"Courtney's Cookies","Coral Gables","Miami / Dade County","Vegan","Open","955 Alton Rd, Coral Gables, Florida, USA, 33139","+1-330-881-4676","https://www.courtneyscookies.com/","https://www.happycow.net/reviews/courtneys-cookies-coral-gables-174956","7","","","","","","",""
"Bombay Darbar","Miami","Miami / Dade County","Vegan","Open","2901 Florida Ave, Miami, Florida, USA, 33133","+1-305-444-7272","https://www.bombaydarbar.com/","https://www.happycow.net/reviews/bombay-darbar-miami-243772","7","ChIJv4vocsW32YgRPxw8nJd0kM4","2901 Florida Ave, Miami, FL 33133, USA","25.729253099999998","-80.24103149999999","OPERATIONAL","https://www.bombaydarbar.com/","Bombay Darbar"
"Cafe La Trova","Miami","Miami / Dade County","Vegan","Open","971 SW 8th St, Miami, Florida, USA, 33130","+1-786-615-4379","https://www.doordash.com/store/cafe-la-trova-miami-25002259/?utm_campaign=gpa","https://www.happycow.net/reviews/cafe-la-trova-miami-405705","9","ChIJZzgtHTW32YgR-k9p8IqD5m0","971 SW 8th St, Miami, FL 33130, USA","25.7660827","-80.2104785","OPERATIONAL","https://www.cafelatrova.com/","Cafe La Trova"
"Cantina La Veinte","Miami","Miami / Dade County","Vegan","Open","495 Brickell Ave, Miami, Florida, USA, 33131","+1-786-623-6135","https://cantinala20.com/","https://www.happycow.net/reviews/cantina-la-veinte-miami-390897","1","ChIJ9eKQtIK22YgR2mKvRBAuvI8","495 Brickell Ave, Miami, FL 33131, USA","25.768460599999997","-80.18836449999999","OPERATIONAL","http://www.cantinala20.com/","Cantina La Veinte"
"Coyo Taco","Miami","Miami / Dade County","Vegan","Open","2300 NW 2nd Ave, Miami, Florida, USA, 33127","+1-305-573-8228","http://www.coyo-taco.com/","https://www.happycow.net/reviews/coyo-taco-miami-190122","5","ChIJtSypDbK22YgR6uBJ6auYetw","2320 NW 2nd Ave, Miami, FL 33127, USA","25.7997762","-80.19939029999999","OPERATIONAL","https://rebrand.ly/coyo-taco","Coyo Taco"
"D'Oro","Miami","Miami / Dade County","Vegan","Open","267 E Flagler St, Miami, Florida, USA, 33131","+1-786-787-2378","https://www.doropizzabar.com/","https://www.happycow.net/reviews/doro-miami-268360","1","ChIJMUs7Cp622YgRIiK1CPiXjYc","17 NE 3rd Ave, Miami, FL 33131, USA","25.7747186","-80.1884714","OPERATIONAL","http://www.dorocaffe.com/","D'Oro Caffe"
"Delight of Beirut","Miami","Miami / Dade County","Vegan","Open","1223 W Flagler St, Miami, Florida, USA, 33135","+1-305-603-7745","https://delightsofbeirut.com/","https://www.happycow.net/reviews/delight-of-beirut-miami-428014","9","ChIJC5-zTgDH2YgRsxQ2_yJ2TpA","6907 S Red Rd, Coral Gables, FL 33143, USA","25.7049429","-80.2852517","OPERATIONAL","https://www.delightsofbeirut.com/","Delights of Beirut"
"Doral Thai","Miami","Miami / Dade County","Vegan","Open","2613 NW 79th Ave, Miami, Florida, USA, 33122","+1-305-418-8311","http://www.doralthai.com/","https://www.happycow.net/reviews/doral-thai-miami-221628","3","ChIJY5AY0zG52YgRnVuXuAdXmbg","2613 NW 79th Ave, Miami, FL 33122, USA","25.798059199999997","-80.32460600000002","OPERATIONAL","http://www.doralthai.com/","Doral Thai Restaurant"
"Doya","Miami","Miami / Dade County","Vegan","Open","347 NW 24th St, Miami, Florida, USA, 33127","+1-305-501-2848","https://www.doyarestaurant.com/","https://www.happycow.net/reviews/doya-miami-266435","10","ChIJgf9eP_m32YgRHv6mVX9npl0","347 NW 24th St, Miami, FL 33127, USA","25.800235999999998","-80.201449","OPERATIONAL","https://www.doyarestaurant.com/","Doya"
"Dr Limon Ceviche Bar","Miami","Miami / Dade County","Vegan","Open","10544 SW 8th St, Miami, Florida, USA, 33174","+1-305-228-9198","https://www.ubereats.com/store/dr-limon-ceviche-bar-fiu-miami-fl/XEWme3veRNiV3XnHU1SPAw?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas","https://www.happycow.net/reviews/dr-limon-ceviche-bar-miami-492108","1","ChIJnb0q1Sul2YgRJW3t3ykvr7I","7341 Miami Lakes Dr, Miami Lakes, FL 33014, USA","25.911707999999997","-80.3185062","OPERATIONAL","http://www.drlimonmiamilakes.com/","Dr. Limon Ceviche Bar - Miami Lakes"
"Earls Kitchen + Bar","Miami","Miami / Dade County","Vegan","Open","150 NE 8th St Suite F-136, Miami, Florida, USA, 33132","+1-645-202-1488","https://www.ubereats.com/store/earls-miami-worldcenter/jeHguRsGWFmToe4dKNn3Qw","https://www.happycow.net/reviews/earls-kitchen-bar-miami-505700","1","ChIJI8Yp8eG32YgRRe4dDEEpURQ","150 NE 8th St Ste F-136, Miami, FL 33132, USA","25.7809761","-80.1911417","OPERATIONAL","https://www.earls.ca/locations/miami-worldcenter","Earls Kitchen + Bar"
"El Basha Grocery and Deli","Miami","Miami / Dade County","Vegan","Open","5821 SW 137 Ave, Miami, Florida, USA, 33175","+1-305-383-1367","https://leafletjs.com/","https://www.happycow.net/reviews/el-basha-grocery-and-deli-miami-42883","4","ChIJc-hTSWPA2YgRtVZQn-iZZPs","5821 SW 137th Ave, Miami, FL 33183, USA","25.712791","-80.4142203","OPERATIONAL","","Al Basha"
"El Cristo Restaurant","Miami","Miami / Dade County","Vegan","Open","1543 SW 8th St., Miami, Florida, USA, 33135","+1-305-643-9992","http://www.elcristorestaurant.com/","https://www.happycow.net/reviews/el-cristo-restaurant-miami-462408","1","ChIJIUBro_C22YgRHcjpkCYaPss","1543 SW 8th St, Miami, FL 33135, USA","25.765895999999998","-80.220381","OPERATIONAL","https://www.elcristorestaurant.com/menu","El Cristo Restaurant"
"Faraon Restaurant","Miami","Miami / Dade County","Vegan","Open","7369 NW 36th St (at West Airport Centre), Miami, Florida, USA, 33166","+1-786-495-4166","https://www.faraonmiami.com/","https://www.happycow.net/reviews/faraon-restaurant-miami-334019","2","ChIJN4lI5bi52YgRT3bT3yGHN7U","7369 NW 36th St, Miami, FL 33166, USA","25.810318","-80.3160667","OPERATIONAL","https://faraondoral.com/","Faraon Restaurant"
"Fradiavolo Pizza","Miami","Miami / Dade County","Vegan","Open","281 NW 28th St, Miami, Florida, USA, 33127","+1-786-507-5135","https://www.ubereats.com/store/fradiavolo-nw-28th-st/1LoYoJEkSOuZ6C8KeKiDpw","https://www.happycow.net/reviews/fradiavolo-pizza-miami-497609","1","ChIJ3ygiXwC32YgRDf_t5FjBBUw","281 NW 28th St, Miami, FL 33127, USA","25.8031318","-80.2008482","OPERATIONAL","https://fradiavolopizzeria.com/miami","Fradiavolo Pizza"
"Minuet Cakes","Miami","Miami / Dade County","Vegan","Open","1401 NE 191st St, Miami, Florida, USA, 33179","+1-786-780-3457","https://minuetcakes.com/","https://www.happycow.net/reviews/minuet-cakes-miami-487165","4","","","","","","",""
"LUSH","Miami","Miami / Dade County","Vegan","Open","7535 Dadeland Mall, Miami, Florida, USA","+1-305-662-4194","https://d1mvj2ulps5lli.cloudfront.net/venues/1024/30/61/chain30_61_1528753431.jpeg","https://www.happycow.net/reviews/lush-miami-227097","","ChIJOcrOn6TH2YgRAReAy4qo37c","7535 Dadeland Mall Cir W Ste 1720A, Miami, FL 33156, USA","25.6902597","-80.31242569999999","OPERATIONAL","https://www.lush.com/us/en_us/?y_source=1_ODM2OTMwMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Lush Cosmetics Dadeland Mall"
"Made in Italy","Miami","Miami / Dade County","Vegan","Open","2805 NE 2nd Ave, Miami, Florida, USA","+1-305-896-3693","https://www.kyoo.tech/order/merchants/67BT7W1YFGF9B/locations/NW89WFR5H5441","https://www.happycow.net/reviews/made-in-italy-miami-391833","1","ChIJx6KLEQC12YgRg8hSNo31LUY","1599 N Bayshore Dr, Miami, FL 33132, USA","25.790417700000003","-80.1868291","OPERATIONAL","","Made in italy"
"Dub N Grub","Miami Gardens","Miami / Dade County","Vegan","Open","486 NE 167th St, Miami Gardens, Florida, USA, 33162","+1-786-403-9850","https://www.dubandgrub.com/","https://www.happycow.net/reviews/dub-n-grub-miami-gardens-229674","15","ChIJNdlxPISv2YgREGmmR775H18","Suit 5 inside treelion, 18400 NW 2nd Ave, Miami Gardens, FL 33169, USA","25.9443208","-80.20611780000002","OPERATIONAL","https://order.toasttab.com/online/dub-n-grub","DUB N GRUB| PLANT-BASED"
"1000 Degrees","North Miami Beach","Miami / Dade County","Vegan","Open","14821 Biscayne Blvd, North Miami Beach, Florida, USA, 33181","+1-305-944-5050","https://www.1000degreespizza.com/","https://www.happycow.net/reviews/1000-degrees-north-miami-beach-302984","2","ChIJ7eKZzJCt2YgRwixVFxgUVwQ","14821 Biscayne Blvd, North Miami Beach, FL 33181, USA","25.912705","-80.155698","OPERATIONAL","https://1000degreespizza.com/northmiamibeach?utm_source=google","1000 Degrees Pizza - North Miami Beach, FL"
"Mister Mango","North Miami Beach","Miami / Dade County","Vegan","Open","3546 Buena Vista Blvd, North Miami Beach, Florida, USA, 33137","+1-786-961-0214","https://leafletjs.com/","https://www.happycow.net/reviews/mister-mango-north-miami-beach-131094","11","ChIJE3sh-Lyx2YgR5VwhkZo9L5E","NE 36 St@NE, NE 1st Ave, Miami, FL 33137, USA","25.810341599999997","-80.1933224","OPERATIONAL","http://mistermango1.com/","Mister Mango"
"Serious Dumplings","North Miami","Miami / Dade County","Vegan","Open","13200 Biscayne Blvd (at Shoppes at Arch Creek), North Miami, Florida, USA, 33181","+1-305-603-8938","http://seriousdumplingsusa.com/","https://www.happycow.net/reviews/serious-dumplings-north-miami-343999","","ChIJ_eBQKPyt2YgRRuVW_6ixYOU","13200 Biscayne Blvd, North Miami, FL 33181, USA","25.8969353","-80.1624652","OPERATIONAL","https://seriousdumplingsusa.com/","Serious Sanji | Dumpling & Dim Sum & Bubble Tea"
